# Simuation_for_state_estimation (Up to date)
# 1072 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (43.8 m/s)
#
# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
16.607,75.871,17.085
16.609,74.892,17.009
16.612,73.914,16.935
16.614,72.936,16.86
16.616,71.958,16.785
16.619,70.981,16.711
16.621,70.004,16.636
16.624,69.027,16.562
16.627,68.05,16.488
16.629,67.073,16.414
16.632,66.097,16.341
16.635,65.121,16.268
16.637,64.145,16.195
16.64,63.17,16.122
16.643,62.195,16.049
16.646,61.22,15.977
16.649,60.246,15.905
16.652,59.272,15.834
16.656,58.259,15.577
16.659,57.304,15.289
16.662,56.368,15.008
16.665,55.433,14.726
16.668,54.498,14.444
16.671,53.563,14.163
16.675,52.629,13.881
16.678,51.695,13.6
16.682,50.762,13.319
16.686,49.829,13.037
16.689,48.896,12.756
16.693,47.964,12.475
16.697,47.033,12.193
16.701,46.101,11.912
16.706,45.173,11.641
16.71,44.244,11.392
16.715,43.307,11.141
16.719,42.369,10.889
16.724,41.433,10.638
16.729,40.497,10.386
16.734,39.562,10.135
16.739,38.627,9.884
16.745,37.693,9.632
16.751,36.76,9.381
16.756,35.822,9.101
16.762,34.857,8.601
16.767,34.003,8.157
16.773,33.147,7.71
16.779,32.292,7.264
16.785,31.439,6.817
16.792,30.587,6.369
16.798,29.736,5.921
16.805,28.887,5.472
16.814,28.078,5.313
16.823,27.149,5.233
16.832,26.198,5.15
16.842,25.25,5.068
16.853,24.303,4.987
16.863,23.338,4.773
16.873,22.367,4.21
16.883,21.553,3.734
16.894,20.735,3.253
16.905,19.921,2.769
16.916,19.11,2.261
16.928,18.312,1.724
16.941,17.535,1.194
16.955,16.764,0.659
16.969,16,0.066
16.984,15.272,0.61
16.999,14.6,1.256
17.015,13.94,1.917
17.033,13.192,1.33
17.05,12.469,0.66
17.069,11.803,0.028
17.098,11.138,0.04
17.128,10.217,0.125
17.152,9.357,1.132
17.176,8.816,1.917
17.197,8.373,3.006
17.219,8.071,3.9
17.25,7.524,3.462
17.277,6.768,2.584
17.322,6.378,3.045
17.384,5.658,2.988
17.428,4.649,1.992
17.514,4.198,2.223
17.591,3.527,3.128
17.662,3.172,4.139
17.813,2.7,4.187
17.876,1.387,2.226
17.928,1.48,3.457
17.981,1.599,4.43
18.224,1.404,4.334
18.393,0.441,3.273
18.459,-0.164,0.747
18.509,-0.156,0.546
18.618,-0.155,0.083
18.825,-0.111,0.44
19.325,-0.073,0.054
19.825,0.005,0.048
20.325,0.014,0.442
20.825,0.004,0.424
21.133,0.196,2.035
21.258,-0.115,0.415
21.414,-0.086,0.387
21.632,-0.005,1.093
21.759,0.305,2.799
22.259,0.266,2.938
22.759,-0.037,2.727
22.921,-0.35,0.342
23.002,0.016,2.294
23.23,-0.056,1.942
23.431,0.215,3.039
23.497,-0.301,0.024
23.742,-0.257,0.29
23.963,-0.038,1.377
24.046,0.573,3.975
24.122,0.203,2.961
24.196,-0.05,1.95
24.696,-0.048,1.914
24.797,0.24,2.991
24.852,-0.155,1.179
24.884,0.184,2.887
25.098,0.139,2.748
25.267,-0.161,1.515
25.7,-0.157,1.124
25.852,0.061,1.697
26.002,0.246,2.703
26.065,-0.165,0.355
26.233,-0.15,0.016
26.733,-0.098,0.07
27.168,0.063,1.07
27.668,0.098,1.706
27.781,0.208,2.706
27.855,0.572,4.195
27.894,0.014,2.408
27.925,0.334,3.663
28.066,0.258,3.461
28.174,-0.12,2.202
28.363,-0.198,1.638
28.46,-0.253,0.316
28.528,-0.059,1.726
28.609,0.113,2.552
28.678,-0.116,1.416
29.118,-0.077,1.569
29.402,-0.129,0.02
29.448,1.273,5.968
29.496,0.869,5.089
29.524,0.295,3.471
29.596,0.179,3.102
29.686,-0.031,2.32
29.821,0.126,2.964
29.912,-0.203,1.523
30.015,-0.263,0.639
30.221,-0.228,0.14
30.721,-0.132,0.115
30.855,0.624,3.759
31.007,0.247,2.958
31.16,0.444,3.93
31.322,0.074,3.063
31.636,-0.07,2.567
32.102,-0.164,1.9
32.29,-0.172,0.585
32.46,0.016,1.672
32.535,0.536,3.89
32.598,0.157,2.766
32.685,-0.015,2.063
32.799,0.15,2.802
33.299,0.109,2.766
33.389,0.019,2.811
33.429,-0.346,0.573
33.643,-0.306,0.754
33.725,0.291,3.277
33.873,0.111,2.751
33.988,-0.169,1.489
34.055,0.222,3.158
34.331,0.136,2.932
34.548,-0.195,1.706
35.012,-0.029,2.144
35.417,-0.173,1.007
35.708,-0.073,0.382
36.208,-0.034,0.133
36.708,0.014,0.449
36.945,0.3,2.541
37.224,0.374,3.388
37.724,0.248,3.642
38.224,0.207,4.265
38.311,-0.692,1.365
38.692,-0.547,1.544
38.895,0.231,3.25
39.043,-0.161,1.937
39.152,0.188,3.245
39.256,-0.093,2.235
39.309,-0.316,0.291
39.366,-0.209,1.224
39.463,-0.099,1.802
39.546,0.161,2.924
39.661,-0.026,2.217
39.749,-0.216,0.933
39.793,-0.163,1.08
40.143,-0.161,0.955
40.467,0.105,2.002
40.668,-0.148,0.409
41.066,-0.095,0.093
41.566,-0.004,0.469
42.066,-0.004,0.241
42.566,0.025,0.673
42.737,0.542,3.55
42.797,-0.173,0.78
42.874,-0.183,0.003
42.923,-0.035,1.54
43.101,-0.069,1.263
43.601,-0.014,1.48
43.738,0.123,2.168
43.86,0.349,3.264
43.939,-0.066,1.77
44.168,-0.109,1.428
44.259,-0.099,1.09
44.487,-0.116,0.692
44.6,0.254,2.678
45.1,0.203,2.695
45.418,-0.267,1.195
45.918,-0.125,0.915
46.418,0.091,1.605
46.918,0.166,2.46
47.047,-0.188,1.396
47.547,-0.158,1.249
47.775,0.438,3.364
47.961,0.607,4.576
48.041,-0.21,2.404
48.369,-0.124,2.632
48.489,-0.379,0.085
48.795,-0.282,0.297
48.845,1.124,5.683
48.871,0.441,3.876
48.923,0.287,3.413
49.057,0.159,3.039
49.401,0.222,3.423
49.705,-0.186,2.37
49.859,-0.342,0.392
50.306,-0.217,0.712
50.464,0.169,2.09
50.549,-0.093,0.253
50.762,-0.057,0.652
51.262,-0.048,0.296
51.523,0.232,2.189
52.023,0.2,2.594
52.174,-0.293,0.689
52.265,-0.18,0.96
52.356,-0.194,0.037
52.856,-0.157,0.101
52.989,0.576,3.585
53.215,0.29,3.071
53.262,-0.133,1.694
53.519,-0.149,1.51
54.019,-0.075,1.481
54.452,-0.1,0.327
54.952,0.022,0.836
55.079,0.409,3.1
55.241,0.136,2.369
55.424,-0.064,1.507
55.544,0.266,2.997
55.586,-0.214,0.221
56.086,-0.196,0.212
56.586,0.008,0.224
56.776,0.375,2.833
56.883,-0.078,1.115
57.052,-0.112,0.483
57.166,0.101,1.942
57.284,-0.058,0.981
57.372,-0.085,0.352
57.654,-0.076,0.039
57.755,0.336,2.798
57.845,0.565,3.895
57.92,0.163,2.766
57.955,-0.204,0.637
58.455,-0.19,0.619
58.955,0.023,0.832
59.098,0.736,4.254
59.199,0.168,2.957
59.253,-0.212,1.129
59.745,-0.176,1.233
59.879,0.209,2.429
59.938,-0.128,0.173
60.057,-0.109,0.317
60.306,-0.054,0.794
60.397,0.127,1.935
60.561,0.216,2.486
60.651,0.619,4.241
61.151,0.491,4.17
61.252,-0.727,0.637
61.309,-0.535,1.127
61.633,-0.493,0.956
62.133,-0.167,0.995
62.408,-0.009,0.819
62.843,-0.034,0.189
63.259,0.035,0.855
63.398,0.194,2.14
63.867,0.202,2.436
64.035,-0.266,0.319
64.283,-0.13,0.982
64.39,0.373,3.255
64.428,-0.178,0.511
64.496,-0.119,1.066
64.996,-0.09,1.178
65.105,0.45,3.375
65.192,0.717,4.595
65.692,0.578,4.533
65.764,-0.569,2.384
65.805,-0.041,4.036
65.911,-0.15,3.664
65.971,-0.55,1.938
66.019,-0.654,0.702
66.088,-0.515,1.39
66.129,-0.112,3.002
66.312,-0.045,3.218
66.457,-0.318,1.981
66.581,-0.39,0.82
67.081,-0.271,1.033
67.581,-0.037,0.415
67.686,0.772,4.286
67.839,0.832,4.968
67.879,-0.346,1.228
68.033,-0.286,1.472
68.132,0.118,2.999
68.174,-0.304,0.7
68.384,-0.262,0.894
